"AbdielIndivID","IndividualName","IndividualTitle"
"1995","Flynn, Conor C.","Kimco Realty Corporation - Chief Executive Officer, President, and Director"
"1996","Howell, Philip L.","The Evolution Group Limited - Former Executive Director"
"2003","Groen Ph.D., Jan ","MDxHealth SA - Chief Executive Officer, President and Executive Director"
"2014","Kao, David C.S.","AcBel Polytech Inc. - General Manager"
"2015","Hsia, Ru Win ","Altek Corp. - Chairman, Chief Executive Officer and President"
"2021","Kumar, Adarash ","Perisai Petroleum Teknologi Bhd - Executive Director and Member of Employees’ Share Option Scheme (ESOS) Committee"
"2022","Bin Mohamed Ishak, Zainol Izzet","Perisai Petroleum Teknologi Bhd - Managing Director, Executive Director, Member of Remuneration Committee and Member of Employees’ Share Option Scheme (ESOS) Committee"
"2023","Liao, Lu-Lee ","Merry Electronics Co., Ltd. - Chairman, Chief Executive Officer and President"
"2034","Nasution, Syafril ","PT Indonesia Transport & Infrastructure Tbk - President Director"
"2050","Shiba, Toshiaki ","Taikisha Ltd. - Executive Vice President Corporate Officer and Representative Director"
"2058","de Ayala II, Jaime Augusto Zobel","Integrated Microelectronics, Inc. - Chairman and Chairman of Compensation Committee"
"2069","Milano, Vincent J.","Vanda Pharmaceuticals, Inc. - Independent Director, Chairman of Compensation Committee and Member of Audit Committee"
"2075","McCue, Andy ","Paddy Power Betfair plc - Former Chief Operating Officer and Executive Director"
"2079","Hurwitz BCom (Hon) (Wits), CA (SA), HDipTax (Wits), David M.","Transaction Capital Limited - Chief Executive Officer, Executive Director, Chairman of Executive Committee, Member of Asset & Liability Committee and Member of Social & Ethics Committee"
"2096","Coupe, Michael Andrew","J Sainsbury plc - Chairman of the Operating Board, Chief Executive Officer, Executive Director and Member of Corporate Responsibility & Sustainability Committee"
"2103","Streibich, Karl-Heinz ","Software Aktiengesellschaft - Chairman of the Management Board and Chief Executive Officer"
"2105","Anstice, Martin B.","Lam Research Corporation - Chief Executive Officer, President and Director"
"2111","Bradley, Mark Raymond","First Trust Enhanced Equity Income Fund - Managing Director and Chief Financial Officer"
"2114","Danziger, Asaf  ","Cybro Medical Ltd. - Chief Executive Officer"
"2124","Drummond, James ","Kidde Limited - Former Director of Business Development and Member of Executive Committee"
"2125","Laparte, Jose Luis ","PriceSmart Inc. - Chief Executive Officer, President, Director and Member of Real Estate Committee"
"2139","Pinter, Istvan ","Rba Jrmipari Holding Nyrt. - Chairman, Chief Executive Officer, President, Chief Strategic Officer and Director of Corporate Information Technology & Organisational Development"
"2143","Gozani, Shai N.","NeuroMetrix Inc. - Founder, Chairman, Chief Executive Officer, President and Secretary"
"2144","Ribeiro, Jos Ernesto Cacho","Grupo Minsa S.A.B. de C.V. - Chief Executive Officer, Secretary of the Board of Directors, Independent Director and Member of Finance & Planning Committee"
"2150","Pramanik, Subhas S.","GOCL Corporation Limited - Managing Director, Executive Director, Member Share Transfer & Investors Grievance and Member of Stakeholder Relationship Committee"
"2154","Taylor A.C.A., A.I.M.M., A.C.I.M., Philip Roy","Michael Hill New Zealand Limited - Former Chief Financial Officer and Director"
"2177","Gabelli, Mario Joseph","LICT Corporation - Chairman, Chief Executive Officer, President and Chairman of Executive Committee"
"2180","Chan, Amiee ","Norsat International Inc. - Chief Executive Officer, President and Director"
"2182","Watson III, Mark E.","Argo Group International Holdings, Ltd. - Chief Executive Officer, Director, Member of Executive Committee, Member of Investment Committee and Member of Risk & Capital Committee"
"2183","Keswick, Benjamin William","Jardine Matheson Holdings Limited - Managing Director and Executive Director"
"2191","King, William D.","Beverly Hills Bancorp Inc. - Chief Executive Officer, Chairman, Chairman of Audit Committee, and Member of Nominating Committee"
"2197","Sherif, Tarek A.","Medidata Solutions, Inc. - Co-Founder, Chairman and Chief Executive Officer"
"2199","Zutshi, Upinder ","Infinite Computer Solutions (India) Ltd. - Chief Executive Officer, Managing Director and Executive Director"
"2202","Kokubun, Hideyo ","Meitec Corporation - Chief Executive Officer, President, Chief Operating Officer, Executive Officer of the Internal Audit Department, the CSR Department, Representative Director, Member of Chief Executive Officer Nominating Committee, Member of Corporate Governance Committee and Chief Executive Officer of Meitec Group "
"2208","Roberts, James Hildebrand","Granite Construction Incorporated - Chief Executive Officer, President, Director and Member of Executive Committee"
"2233","Russak-Aminoach CPA, Rakefet ","Bank Leumi Le-Israel BM - Chief Executive Officer, President, Chairman of Management Committee of Current Matters, Chairman of Allowance Committee, Chairman of Upper Risk Management Committee and Member of Disclosure Committee"
"2234","Johnson CPA, Gregory Eugene","Franklin Limited Duration Income Trust - Vice President and Trustee"
"2238","Salcedo Jr., Alfonso L.","Bank of the Philippine Islands - Former Head of Corporate Clients and Executive Vice-President"
"2249","Hubbe, Morten ","Tryg A/S - Chief Executive Officer, Member of Group Executive Management and Chief Executive Officer of Tryg Forsikring A/S"
"2252","Brouillard, Rheo Arthur","SI Financial Group Inc. - Chief Executive Officer, President, Director, Chief Executive Officer of SI Bancorp, Chief Executive Officer of Savings Institute Bank & Trust Company, President of SI Bancorp, President of Savings Institute Bank & Trust Company, Director of SI Bancorp and Director of Savings Institute Bank & Trust Company"
"2261","Drever BSc., John Scott","Goldsource Mines Inc. - Former Chief Executive Officer and Director"
"2263","Maleh, Paul A.","CRA International Inc. - Chief Executive Officer, President, Director and Member of Executive Committee"
"2268","Sahi FCPA, FCGA, FCA, Kuldip Rai","Morguard REIT - Chief Executive Officer, President, Non-Independent Trustee and Chairman of Investment Committee"
"2272","Myers, Charles Daniel","Alimera Sciences, Inc. - Co-Founder, Chief Executive Officer and Director"
"2278","Schall Ph.D., Thomas J.","ChemoCentryx, Inc. - Founder, Chairman, Chief Executive Officer and President"
"2290","van den Broek, Jacques W.","Randstad Holding NV - Chairman of the Executive Board and Chief Executive Officer"
"2296","Alvarado, Joseph ","Lone Star Technologies, Inc. - Former President and Chief Operating Officer"
"2299","Herzog, Thomas M.","VMS National Properties Joint Venture - Chief Financial Officer of Maeril Inc and Executive Vice President of Maeril Inc"
"2301","Malkin, Anthony E.","250 West 57Th St Associates LLC - President of Malkin Holdings LLC and President of Malkin Properties LLC"
"2312","Pangilinan, Manuel Velez","PT Indofood Sukses Makmur Tbk - President Commissioner"
"2317","Ridgway, Simon T. P.","Focus Ventures Ltd. - Chairman, Chief Executive Officer and Member of Compensation Committee"
"2318","Boyce, James ","Totally Hip Technologies Inc. - Chief Financial Officer, Director and Member of Audit Committee"
"2320","Schulte, Stefan ","Fraport AG - Chairman of Executive Board and Chief Executive Officer"
"2333","Brannstrom, Magnus ","Oriflame Holding AG - Chief Executive Officer, President and Director"
"2336","Ellison, George G.","Bank of America Corporation - Former Head of Global Structured Products"
"2339","Sasage, Yuichiro ","Komeri Co.,Ltd. - Chief Executive Officer, President, Chief Operating Officer and Representative Director"
